------------------------------------------------------------
 Jp - Hole current density
------------------------------------------------------------
Position (um), Current Density (A/cm2)
       10.3290347736,       0.102026493607
       10.3389107854,       0.102019494625
        10.365275546,       0.101947614568
       10.3762379192,       0.101939722963
       10.4055028035,       0.101859260149
       10.4176710376,       0.101850323685
       10.4501550592,       0.101760042668
       10.4636617991,       0.101749855817
       10.4997190631,       0.101648263183
       10.5147115444,       0.101636553147
       10.5547351074,       0.101521824997
       10.5713767616,        0.10150822926
       10.6158029165,       0.101378112428
       10.6342751528,       0.101362146242
       10.6835881847,       0.101213824804
       10.7040923669,       0.101194835688
       10.7588298324,       0.101024750605
       10.7815894746,       0.101001855301
       10.8423480613,       0.100805460675
       10.8676112642,       0.100777458036
       10.9350532954,       0.100548891506
       10.9630954506,       0.100514142114
       11.0379561052,       0.100245779135
       11.0690828975,       0.100202038843
       11.1521782242,      0.0998838905618
